category,area_ha,centroid_lon,centroid_lat,bbox_min_lon,bbox_min_lat,bbox_max_lon,bbox_max_lat,ecosystem,province,canton,estimated_trees,log_area_ha,width_deg,height_deg,aspect_ratio_deg,rect_area_deg,center_x_utm,center_y_utm,min_x_utm,min_y_utm,max_x_utm,max_y_utm,width_utm,height_utm,aspect_ratio_utm,rect_area_utm,dist_to_ref_center,num_ecosystems,cluster,is_sensitive_ecosystem,operational_mission
PROVINCIAL,1237395.42,-77.60517101386965,-2.747380425831673,-78.52189201252601,-3.5296980389703445,-76.68845001521329,-1.9650628126930016,"Bosque inundado e inundable, Bosque siempreverde tierras bajas y montano bajo, Herbazal inundado lacustre ripario de la lllanuria aluvial de la Amazonia, Arbustal y herbazal montano",MORONA SANTIAGO,"MORONA,GUALAQUIZA,LIMON INDAZA,SUCUA,HUAMBOYA",494958168,14.02851926076298,1.8334419973127185,1.5646352262773429,1.171801558183713,2.8686679343317683,210340.6351611821,9696013.766796893,775317.5463752644,9609490.629771776,312200.2350089246,9782705.755451566,-463117.3113663398,173215.12567979097,-2.673653986906809,-80218923292.80743,456738.113661234,4,-1,True,Outlier / Not Recommended
PROVINCIAL,32667.31,-78.10874164249017,0.8171376357463496,-78.2573239000927,0.6610058813258889,-77.96015938488765,0.9732693901668104,"Bosque siempreverde montano y montano bajo de la Coordillera Occidental de los Andes, Rosetal caulescente, herbazal de paramo",CARCHI,"MIRA, ESPEJO,TULCAN",13066924,10.39413016266826,0.2971645152050541,0.3122635088409214,0.9516466248536074,0.0927936342209415,821829.6468332657,10090434.199551538,805288.3756536535,10073145.387837788,170508.06022091955,10107720.288741125,-634780.315432734,34574.90090333484,-18.35957005943261,-21947466501.47441,339854.87626809103,3,-1,False,Outlier / Not Recommended
PROVINCIAL,400512.62,-78.88464938403288,-4.177635077797023,-79.40915284981052,-5.014496915055805,-78.36014591825523,-3.34077324053824,"Bosque siempreverde montano, montano bajo del Sur de la coordillera oriental de los Andes,Bosque siempreverde montano de las coordilleras del condor Kutuku,Arbustal siempreverde y herbazal de páramo",ZAMORA CHINCHIPE,"EL PANGUI,YACUAMBI,YANTZAZA,CENTINELA DEL CONDOR",160205048,12.90050055560584,1.0490069315552972,1.6737236745175648,0.6267503691915652,1.7557477360771276,734817.4508374691,9537921.706001349,676370.9051154122,9445519.174858088,793357.5997709816,9630345.9438428,116986.6946555694,184826.76898471263,0.6329531988152913,21622272787.39004,267262.9518285539,4,-1,False,Outlier / Not Recommended
MUNICIPAL,31741.03,-78.52552237651838,-3.622596808506752,-78.68637985360209,-3.7175373106832255,-78.36466489943469,-3.527656306330278,"Bosque siempreverde montano bajo sobre mesetas de arenisca de las coordilleras del Condor Kutuku, Bosque ciempreverde piemontano de las coordilleras del Condor Kutuku, Bosque siempreverde montano bajo de las coordilleras del Condor Kutuku",ZAMORA CHINCHIPE,EL PANGUI,12696412,10.365365444719624,0.3217149541674047,0.1898810043529475,1.6942977185601398,0.0610875586126692,774886.2573588039,9599213.624585183,756979.6202207163,9588758.097568125,792798.0509512766,9609668.495407376,35818.43073056021,20910.397839251906,1.712948314322457,748977636.5537003,227457.40947552983,3,1,False,Medium Area - Standard Mission
MUNICIPAL,1059.86,-78.66943587519111,-4.21529127981475,-78.72136818380775,-4.413798230769524,-78.61750356657446,-4.016784328859974,"Bosque siempreverde piemontano de las coordilleras del Condor Kutuku, Bosque ciempreverde montano bajo de las coordilleras del Condor Kutuku, Bosque siempreverde piemontano  sobre afloramiento de roca caliza de las coordilleras amazonicas",ZAMORA CHINCHIPE,NANGARITZA,423943,6.965892102912625,0.1038646172332988,0.39701390190955,0.2616145592688775,0.0412356969581338,758707.6447716686,9533688.315877788,752874.0239418183,9511745.865986338,764541.3249810939,9555631.900237773,11667.301039275597,43886.03425143473,0.265854530678946,512031573.0314488,279143.3138878938,3,-1,False,Outlier / Not Recommended
MUNICIPAL,31945.98,-79.14341275896896,-4.872853084032865,-79.39762063761918,-5.01720102453643,-78.88920488031874,-4.7285051435293,"Bosque siempreverde montano del sur de la coordillera oriental de los Andes,Bosque siempreverde montano bajo del sur de la coordillera oriental de los Andes",ZAMORA CHINCHIPE,CHIINCHIPE,12778392,10.371801630293268,0.5084157573004404,0.28869588100713,1.7610772753865738,0.1467775349717578,705885.7068467666,9461106.875686824,677649.0336619569,9445217.034881745,734137.1637199998,9476990.560962925,56488.13005804294,31773.526081178337,1.777836363320815,1794827073.6762214,336004.03511647345,2,-1,False,Outlier / Not Recommended
MUNICIPAL,8718.3,-78.76550238197505,-3.947330047148884,-78.85097321822633,-4.0633749930719,-78.68003154572378,-3.831285101225868,"Bosque siempreverde montano bajo de las coordilleras del Condor Kutuku,Bosque siempreverde piemontano del sur de la coordillera oriental de los Andes",ZAMORA CHINCHIPE,CENTINELA DEL CONDOR,3487319,9.073179543768672,0.1709416725025505,0.2320898918460319,0.7365321703860366,0.0396738342830967,748120.458468535,9563361.311014865,738591.532537264,9550550.246036427,757651.5679452701,9576172.857690182,19060.03540800605,25622.611653752625,0.7438755918237484,488367885.3661135,247656.24121960704,2,1,False,Medium Area - Standard Mission
MUNICIPAL,5755.79,-80.04072727190753,-3.799386579880709,-80.11314889325047,-3.8872021499045903,-79.96830565056459,-3.711571009856826,"Bosque siempreverde estacional piemontamo de Catamayo Alamor, Bosque deciduo de tierras bajas de Jama Zapotillo",EL ORO,LAS LAJAS,2302316,8.657961583672673,0.1448432426858801,0.1756311400477641,0.82470137027971,0.0254389838411361,606514.9663447435,9579988.361903273,598462.7319575956,9570289.090783188,614568.7491137558,9589687.34991849,16106.017156160204,19398.25913530216,0.8302815754661532,312428694.43281794,219269.74699672865,2,1,False,Medium Area - Standard Mission
PROVINCIAL,35.1,-79.2147674530125,-0.6012688026750279,-79.21951836016586,-0.6071354878470561,-79.21001654585913,-0.5954021175029997,Intervencion,SANTO DOMINGO DE LOS TSACHILAS,SANTO DOMINGO,14040,3.55820113050031,0.0095018143067306,0.0117333703440564,0.8098110958998903,0.0001114883062013,698673.1791104104,9933509.218749862,698144.0806476243,9932860.630539384,699202.2780098767,9934157.809861848,1058.197362252395,1297.1793224643916,0.8157679851396391,1372671.7374001676,146233.71249629703,1,2,False,Small Area - Short Mission (Low autonomy)
MUNICIPAL,56170.1,-78.98272575073058,-3.98533312228737,-79.19619029950788,-4.26953985839157,-78.76926120195328,-3.701126386183168,"Bosque siempreverde montano del sur de la coordillera oriental de los Andes,Bosque siempreverde montano bajo del sur de la coordillera oriental de los Andes",ZAMORA CHINCHIPE,ZAMORA,22468040,10.936139865834685,0.4269290975545914,0.5684134722084022,0.7510889830686029,0.242672250727805,723979.0771957121,9559219.694872571,700198.474345246,9527844.127292082,747773.6226932951,9590597.143001685,47575.14834804914,62753.01570960134,0.7581332595744764,2985484031.6717424,243759.79519736904,2,-1,False,Outlier / Not Recommended
